id,name,kind_of_institution_and_funding_body,year_of_foundation,total_number_of_students,students_at_this_campus,semester_contribution,tuition_fees,medicine_health_science,natural_sciences_mathematics,law_economic_and_social_sciences,humanities_languages,engineering_science_incl_computer_science,other_studies,bachelors_degree,masters_degree,teacher_qualification_degree,pre_bologna_degrees,other_types_of_degrees,url,departments,departments_detail
663,Hochschule Hamm-Lippstadt,"University of applied sciences, public",2009,"6,195","3,328","277,53€",There are no study fees.,0.0%,9.9%,44.2%,0.0%,45.9%,0.0%,96.8%,3.2%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/663,"Business Psychology, Interdisciplinary programmes","[{'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605231'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604372?subfach=117'}]"
664,Hochschule Ruhr West,"University of applied sciences, public",2009,"6,464","4,744",no data,There are no study fees.,0.0%,0.0%,40.2%,0.0%,59.8%,0.0%,84.8%,15.0%,0.0%,0.0%,0.1%,https://ranking.zeit.de/che/en/hochschule/664,"Business Administration, Civil Engineering, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600664'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500563?subfach=104'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500565'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/602106'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500564?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500638'}]"
668,SRH Hochschule Berlin,"University of applied sciences, private",2002,722,722,no data,no data,2.2%,0.0%,82.1%,0.0%,15.7%,0.0%,55.7%,41.3%,0.0%,0.0%,3.0%,https://ranking.zeit.de/che/en/hochschule/668,"Business Administration, Business Informatics, Business Psychology","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9500587'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605048'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605047'}]"
677,CBS International Business School,"University of applied sciences, private",1993,"1,799","1,524",no data,There are no study fees.,0.0%,0.0%,95.9%,4.1%,0.0%,0.0%,61.4%,31.7%,0.0%,0.0%,6.9%,https://ranking.zeit.de/che/en/hochschule/677,"Business Administration, Business Psychology","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430711'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605205'}]"
679,BSP Business School Berlin - Hochschule für Management,"University of applied sciences, private",2009,"1,355",905,no data,"min. 590,00€",0.0%,0.0%,97.0%,0.0%,0.0%,3.0%,72.6%,27.4%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/679,"Business Administration, Business Psychology","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603108'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605040'}]"
703,Duale Hochschule Baden-Württemberg Lörrach,"University of cooperative education, public",2009,"2,095","2,095","266,00€","max. 1500,00€",4.2%,0.0%,60.6%,0.0%,33.2%,1.9%,98.1%,0.0%,0.0%,0.0%,1.9%,https://ranking.zeit.de/che/en/hochschule/703,"Business Administration, Business Informatics, Electrical / Information Engineering, Mechanical Engineering, Mechatronics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605123'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605124'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604338'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604340?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604341'}]"
704,Duale Hochschule Baden-Württemberg Mannheim,"University of cooperative education, public",2009,"6,221","6,221",no data,There are no study fees.,0.8%,0.0%,49.3%,0.0%,49.9%,0.0%,99.5%,0.0%,0.0%,0.0%,0.5%,https://ranking.zeit.de/che/en/hochschule/704,"Business Administration, Business Informatics, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605128'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605129'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604342'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605130'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604344?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604345'}]"
705,Duale Hochschule Baden-Württemberg Ravensburg,"University of cooperative education, public",2009,"3,853","2,496",,There are no study fees.,0.0%,0.0%,88.5%,0.0%,11.5%,0.0%,97.1%,0.0%,0.0%,0.0%,2.9%,https://ranking.zeit.de/che/en/hochschule/705,"Business Administration, Business Informatics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605109'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605112'}]"
706,Duale Hochschule Baden-Württemberg Stuttgart,"University of cooperative education, public",2009,"8,440","7,463","269,40€",There are no study fees.,4.6%,0.0%,53.8%,0.0%,41.1%,0.5%,99.5%,0.0%,0.0%,0.0%,0.5%,https://ranking.zeit.de/che/en/hochschule/706,"Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430741'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603177'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604181'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604351'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603178'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604356?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604357'}, {'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604180'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605140'}]"
707,Duale Hochschule Baden-Württemberg Mosbach,"University of cooperative education, public",2009,"3,688","3,120",,There are no study fees.,0.0%,0.0%,30.5%,0.0%,69.5%,0.0%,99.3%,0.0%,0.0%,0.0%,0.7%,https://ranking.zeit.de/che/en/hochschule/707,"Business Administration, Business Informatics, Industrial Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605117'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605120'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605119'}]"
709,Duale Hochschule Baden-Württemberg Villingen-Schwenningen,"University of cooperative education, public",2009,"2,563","2,563","106,00€",There are no study fees.,0.0%,0.0%,90.9%,0.0%,9.1%,0.0%,99.0%,0.0%,0.0%,0.0%,1.0%,https://ranking.zeit.de/che/en/hochschule/709,"Business Administration, Business Informatics, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605113'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605114'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605133'}]"
710,Duale Hochschule Baden-Württemberg Heilbronn,"University of cooperative education, public",2009,"2,543","2,543","274,00€",There are no study fees.,0.0%,0.0%,72.4%,0.0%,27.6%,0.0%,48.4%,51.3%,0.0%,0.0%,0.3%,https://ranking.zeit.de/che/en/hochschule/710,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605121'}]"
711,Berufsakademie Hamburg,"University of cooperative education, private",2005,185,185,no data,"min. 360,00€",0.0%,0.0%,61.1%,0.0%,38.9%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/711,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430781'}]"
715,Berufsakademie Göttingen,"University of cooperative education, private",1936,no data available,no data available,no data,no data,,,,,,,,,,,,https://ranking.zeit.de/che/en/hochschule/715,"Business Administration, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430819'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605167'}]"
719,Hochschule Weserbergland,"University of applied sciences, private",2010,453,453,"110,00€","min. 2.100,00€",0.0%,0.0%,45.7%,0.0%,54.3%,0.0%,91.2%,8.8%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/719,"Business Administration, Business Informatics, Industrial Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430825'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600658'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600788'}]"
721,Leibniz-Fachhochschule,"University of applied sciences, private",2011,549,549,no data,There are no study fees.,6.9%,0.0%,63.0%,0.0%,30.1%,0.0%,95.8%,4.2%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/721,"Business Administration, Business Informatics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430739'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600665'}]"
723,Berufsakademie für Bankwirtschaft Hannover - Rastede,"University of cooperative education, private",1995,95,85,no data,"max. 489,00€",0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/723,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430823'}]"
725,Berufsakademie Welfenakademie,"University of cooperative education, private",1993,193,193,"50,00€","max. 520,00€",0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/725,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430818'}]"
731,Berufsakademie Sachsen,"University of cooperative education, public",1991,"4,493",no data available,no data,There are no study fees.,,,,,,,,,,,,https://ranking.zeit.de/che/en/hochschule/731,"Business Administration, Computer Science","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430836'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/491025'}]"
732,Berufsakademie Sachsen,"University of cooperative education, public",1991,"4,493",no data available,no data,There are no study fees.,,,,,,,,,,,,https://ranking.zeit.de/che/en/hochschule/732,"Business Administration, Environmental Civil Engineering, Mechanical Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430756'}, {'name': 'Environmental Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604366?subfach=118'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604364?subfach=109'}]"
733,Berufsakademie Sachsen,"University of cooperative education, public",1991,"4,493",927,"84,60€",There are no study fees.,0.0%,0.0%,72.0%,0.0%,28.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/733,"Business Administration, Business Informatics, Computer Science","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605171'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605172'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/491037'}]"
735,Duale Hochschule Schleswig-Holstein,"University of cooperative education, private",1974,453,453,no data,"min. 409,00€",0.0%,0.0%,87.9%,0.0%,12.1%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/735,"Business Administration, Business Informatics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430832'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600725'}]"
739,Duale Hochschule Gera-Eisenach,"University of cooperative education, public",2016,"1,427",588,"119,88€",There are no study fees.,0.0%,0.0%,47.3%,0.0%,52.7%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/739,"Business Administration, Industrial Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605163'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605164'}]"
742,Berufsakademie Sachsen,"University of cooperative education, public",1991,"4,493",,,There are no study fees.,,,,,,,,,,,,https://ranking.zeit.de/che/en/hochschule/742,"Business Administration, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605169'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605170'}]"
743,Berufsakademie Sachsen,"University of cooperative education, public",1991,"4,493",467,no data,There are no study fees.,0.0%,0.0%,38.5%,0.0%,61.5%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/743,"Business Administration, Business Informatics, Electrical / Information Engineering, Industrial Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603162'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603163'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604367'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603164'}]"
750,Hochschule Fresenius,"University of applied sciences, private",1848,"10,755",212,no data,no data,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/750,,[]
751,CVJM-Hochschule,"University of applied sciences, private",2009,410,410,no data,no data,0.0%,0.0%,99.8%,0.2%,0.0%,0.0%,95.1%,4.9%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/751,Social Policy and Social Work,"[{'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/601005'}]"
752,Hochschule der Wirtschaft für Management,"University of applied sciences, private",2011,430,430,"22,80€","min. 490,00€",0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,83.7%,16.3%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/752,"Business Administration, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/602011'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605214'}]"
754,Akkon-Hochschule für Humanwissenschaften,"University of applied sciences, private",2009,657,657,no data,"min. 195,00€",96.7%,0.0%,3.3%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/754,"Nursing Science, Social Policy and Social Work","[{'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600751'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605035'}]"
755,Hochschule für Gesundheit,"University of applied sciences, public",2009,"1,404","1,404","333,38€",There are no study fees.,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,91.5%,8.5%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/755,Nursing Science,"[{'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600760'}]"
